timestamp;accel-x;accel-y;accel-z
1464094297583;5.111706;2.7815416;7.8850183
1464094297618;5.254561;4.1718845;7.1431775
1464094297652;5.1275344;5.408218;6.3639297
1464094297687;4.6499996;6.483109;5.6909423
1464094297721;3.9697065;7.3734355;5.0905685
1464094297756;3.130508;8.098763;4.5442224
1464094297789;2.1918867;8.643498;4.065166
1464094297825;1.2396616;9.003216;3.66679
1464094297859;0.29978433;9.219801;3.3083844
1464094297893;-0.52177453;9.317983;2.9904766
1464094297928;-1.2455432;9.32969;2.7286472
1464094297961;-1.892342;9.279442;2.5201197
1464094297995;-2.4394667;9.1921625;2.3649838
1464094298029;-2.9013186;9.089035;2.2387059
1464094298063;-3.2651095;8.992169;2.1260178
1464094298099;-3.5719645;8.901704;2.0101593
1464094298134;-3.9357827;8.779389;1.8633186
1464094298168;-4.3548484;8.6123295;1.7038454
1464094298202;-4.8109803;8.3964205;1.547452
1464094298237;-5.2541146;8.152439;1.4042867
1464094298271;-5.6851687;7.886807;1.2317219
1464094298306;-6.118093;7.5869217;1.0235145
1464094298341;-6.5756426;7.2244606;0.7798149
1464094298376;-7.002498;6.8352447;0.5333551
1464094298410;-7.361936;6.4609165;0.31377414
1464094298445;-7.7717094;5.9695363;0.07194061
1464094298479;-8.165547;5.4178166;-0.105384424
1464094298517;-8.508149;4.8559546;-0.26671726
1464094298547;-8.791155;4.3054037;-0.4680931
1464094298581;-8.9910965;3.8307216;-0.725118
1464094298615;-9.114552;3.443374;-1.0526923
1464094298649;-9.152594;3.1942117;-1.4377362
1464094298684;-9.129846;3.0165153;-1.8938308
1464094298719;-9.102297;2.8413162;-2.2616694
1464094298752;-9.088102;2.6510186;-2.533481
1464094298785;-9.086481;2.4698265;-2.7158585
1464094298820;-9.676146;0.867951;-1.2879951
1464094298854;-9.192001;2.1383042;-2.6409726
1464094298888;-9.092546;2.1675556;-2.9440296
1464094298923;-9.090701;2.1019552;-2.9968204
1464094298958;-9.087268;2.0507333;-3.0423799
1464094298993;-9.086464;2.0052702;-3.0749078
1464094299028;-9.092973;1.9644644;-3.082008
1464094299063;-9.101655;1.3805503;-3.3606493
1464094299097;-9.092984;1.4568721;-3.3518887
1464094299132;-9.095816;1.5205173;-3.315744
1464094299165;-9.096652;1.5880322;-3.281634
1464094299200;-9.096901;1.6625872;-3.243797
1464094299234;-9.100828;1.7535834;-3.1843143
1464094299267;-9.111521;1.8711194;-3.0853055
1464094299301;-9.123932;2.0397038;-2.9382813
1464094299337;-9.122239;2.300527;-2.744517
1464094299370;-9.082382;2.6792383;-2.5242867
1464094299404;-8.979262;3.2070804;-2.2643988
1464094299438;-8.793522;3.8817198;-1.909509
1464094299474;-8.461074;4.728683;-1.4456131
1464094299508;-7.9106026;5.717374;-0.87979615
1464094299541;-7.182718;6.661042;-0.2812357
1464094299575;-6.427207;7.392996;0.27321538
1464094299609;-5.4168696;8.117533;0.8962104
1464094299646;-3.9580507;8.8490925;1.4378482
1464094299681;-2.1115777;9.378308;1.9048831
1464094299714;-0.31144288;9.490121;2.4249985
1464094299748;1.228678;9.211336;3.1115334
1464094299782;2.36896;8.647346;3.956191
1464094299816;3.228173;7.904596;4.8100166
1464094299850;3.969314;6.970538;5.6299353
1464094299884;4.51869;5.9072533;6.3816776
1464094299917;4.860279;4.7302237;7.0740857
1464094299952;4.971259;3.5117083;7.68079
1464094299985;4.854267;2.2618368;8.207326
1464094300019;4.537912;1.0533348;8.6219425
1464094300053;4.0614786;-0.060663775;8.918562
1464094300087;3.4536288;-1.0571737;9.110152
1464094300120;2.7193193;-1.935743;9.214025
1464094300154;1.8326086;-2.6936831;9.242602
1464094300189;0.95120084;-3.3152769;9.173012
1464094300222;0.08499114;-3.7813227;9.0407095
1464094300256;-0.6505893;-4.0952797;8.879496
