timestamp;x_accel;y_accel;z_accel
1464540740000;0.46;0.516;0.332
1464540740000;0.416;0.32;0.312
1464540740000;0.408;0.184;0.276
1464540740000;0.3;-0.012;0.168
1464540740000;0.252;-0.116;0.124
1464540740000;0.196;-0.356;0.036
1464540740000;0.144;-0.524;-0.036
1464540740000;0.14;-0.64;-0.124
1464540740000;0.06;-0.828;-0.18
1464540740000;0.032;-1.024;-0.212
1464540740000;0.004;-1.276;-0.288
1464540740000;0.008;-1.672;-0.36
1464540740000;0.012;-1.848;-0.452
1464540740000;0.02;-1.94;-0.504
1464540740000;-0.008;-1.764;-0.656
1464540740000;-0.012;-1.792;-0.576
1464540740000;-0.008;-1.74;-0.536
1464540740000;0.036;-1.308;-0.404
1464540740000;0.044;-1.14;-0.328
1464540740000;0.096;-0.884;-0.216
1464540740000;0.144;-0.776;-0.188
1464540740000;0.22;-0.64;-0.14
1464540740000;0.276;-0.392;-0.052
1464540740000;0.292;-0.236;-0.032
1464540740000;0.324;-0.124;0.016
1464540740000;0.34;0.356;0.116
1464540740000;0.356;0.564;0.188
1464540740000;0.384;0.484;0.3
1464540740000;0.404;0.736;0.476
1464540740000;0.46;1.176;0.512
1464540740000;0.536;1.312;0.764
1464540740000;0.54;1.548;1.184
1464540740000;0.596;1.968;1.164
1464540741000;0.888;1.848;1.0
1464540741000;0.984;1.64;0.864
1464540741000;1.004;1.528;0.768
1464540741000;0.836;1.364;0.668
1464540741000;0.76;1.224;0.608
1464540741000;0.696;0.984;0.588
1464540741000;0.636;0.64;0.472
1464540741000;0.62;0.552;0.42
1464540741000;0.624;0.392;0.412
1464540741000;0.624;0.028;0.404
1464540741000;0.648;-0.052;0.344
1464540741000;0.648;-0.092;0.296
1464540741000;0.664;-0.224;0.228
1464540741000;0.684;-0.264;0.212
1464540741000;0.672;-0.3;0.208
1464540741000;0.668;-0.356;0.164
1464540741000;0.608;-0.388;0.148
1464540741000;0.528;-0.5;0.092
1464540741000;0.532;-0.532;0.08
1464540741000;0.488;-0.6;0.04
1464540741000;0.392;-0.772;-0.004
1464540741000;0.356;-0.868;-0.052
1464540741000;0.332;-0.996;-0.108
1464540741000;0.292;-1.216;-0.16
1464540741000;0.3;-1.3;-0.224
1464540741000;0.32;-1.344;-0.236
1464540741000;0.276;-1.444;-0.248
1464540741000;0.264;-1.524;-0.272
1464540741000;0.284;-1.508;-0.344
1464540741000;0.268;-1.52;-0.288
1464540741000;0.256;-1.464;-0.264
1464540741000;0.252;-1.324;-0.224
1464540741000;0.272;-1.236;-0.184
1464540741000;0.308;-1.132;-0.148
1464540741000;0.4;-0.96;-0.116
1464540741000;0.464;-0.852;-0.1
1464540741000;0.52;-0.744;-0.06
1464540741000;0.556;-0.496;0.0
1464540742000;0.604;-0.404;0.044
1464540742000;0.628;-0.216;0.048
1464540742000;0.616;-0.092;0.208
1464540742000;0.58;-0.08;0.296
1464540742000;0.584;0.176;0.336
