timestamp;x_accel;y_accel;z_accel
1464540766000;0.428;-1.216;-0.328
1464540766000;0.44;-1.36;-0.396
1464540766000;0.372;-1.58;-0.412
1464540766000;0.312;-1.54;-0.276
1464540767000;0.248;-1.592;-0.244
1464540767000;0.208;-1.724;-0.26
1464540767000;0.252;-1.456;-0.372
1464540767000;0.248;-1.328;-0.308
1464540767000;0.256;-1.152;-0.292
1464540767000;0.308;-0.856;-0.236
1464540767000;0.356;-0.772;-0.224
1464540767000;0.396;-0.724;-0.22
1464540767000;0.488;-0.532;-0.2
1464540767000;0.508;-0.432;-0.16
1464540767000;0.552;-0.292;-0.128
1464540767000;0.468;-0.196;-0.016
1464540767000;0.5;-0.192;0.024
1464540767000;0.504;0.116;0.1
1464540767000;0.452;0.22;0.132
1464540767000;0.448;0.184;0.196
1464540767000;0.52;0.144;0.276
1464540767000;0.46;0.428;0.264
1464540767000;0.448;0.676;0.276
1464540767000;0.496;0.568;0.448
1464540767000;0.48;0.72;0.508
1464540767000;0.472;1.04;0.516
1464540767000;0.556;1.28;0.716
1464540767000;0.572;1.34;0.776
1464540767000;0.644;1.648;0.752
1464540767000;0.772;1.928;0.76
1464540767000;0.768;1.808;0.82
1464540767000;0.72;1.892;0.688
1464540767000;0.632;1.764;0.62
1464540767000;0.552;1.524;0.596
1464540767000;0.54;1.212;0.492
1464540767000;0.52;1.144;0.416
1464540767000;0.504;0.996;0.372
1464540767000;0.524;0.604;0.34
1464540767000;0.524;0.508;0.312
1464540767000;0.516;0.46;0.272
1464540767000;0.512;0.16;0.252
1464540768000;0.54;0.04;0.252
1464540768000;0.596;0.0;0.228
1464540768000;0.592;-0.064;0.14
1464540768000;0.588;-0.164;0.136
1464540768000;0.496;-0.368;0.1
1464540768000;0.476;-0.412;0.084
1464540768000;0.476;-0.448;0.068
1464540768000;0.408;-0.532;0.02
1464540768000;0.364;-0.64;-0.016
1464540768000;0.364;-0.74;-0.08
1464540768000;0.364;-0.924;-0.212
1464540768000;0.38;-0.972;-0.24
1464540768000;0.404;-1.012;-0.272
1464540768000;0.384;-1.236;-0.384
1464540768000;0.392;-1.364;-0.396
1464540768000;0.392;-1.504;-0.404
1464540768000;0.324;-1.748;-0.448
1464540768000;0.28;-1.712;-0.34
1464540768000;0.276;-1.544;-0.328
1464540768000;0.24;-1.504;-0.308
1464540768000;0.244;-1.372;-0.288
1464540768000;0.284;-1.088;-0.244
1464540768000;0.304;-0.98;-0.236
1464540768000;0.332;-0.908;-0.228
1464540768000;0.376;-0.756;-0.168
1464540768000;0.408;-0.668;-0.136
1464540768000;0.412;-0.576;-0.096
1464540768000;0.488;-0.46;-0.036
1464540768000;0.516;-0.352;-0.024
1464540768000;0.5;-0.264;0.012
1464540768000;0.472;-0.112;0.068
1464540768000;0.48;0.02;0.104
1464540768000;0.368;0.284;0.204
1464540768000;0.328;0.424;0.24
1464540768000;0.336;0.492;0.276
1464540768000;0.372;0.588;0.288
1464540768000;0.436;0.768;0.264
1464540769000;0.476;0.8;0.268
1464540769000;0.532;1.04;0.268
1464540769000;0.66;1.352;0.248
1464540769000;0.74;1.496;0.312
1464540769000;0.756;1.736;0.5
1464540769000;0.824;2.044;0.496
1464540769000;0.868;2.044;0.472
1464540769000;0.864;1.924;0.46
1464540769000;0.752;1.668;0.408
1464540769000;0.708;1.572;0.392
1464540769000;0.608;1.44;0.38
1464540769000;0.472;1.06;0.392
1464540769000;0.46;0.984;0.344
1464540769000;0.448;0.856;0.316
1464540769000;0.456;0.512;0.312
1464540769000;0.48;0.42;0.296
1464540769000;0.48;0.404;0.264
1464540769000;0.468;0.148;0.248
1464540769000;0.492;-0.036;0.28
1464540769000;0.508;-0.156;0.296
1464540769000;0.5;-0.248;0.212
1464540769000;0.496;-0.292;0.192
1464540769000;0.44;-0.38;0.128
1464540769000;0.436;-0.444;0.112
1464540769000;0.444;-0.528;0.108
1464540769000;0.324;-0.712;0.02
1464540769000;0.328;-0.784;-0.052
1464540769000;0.356;-0.872;-0.168
1464540769000;0.444;-0.972;-0.252
1464540769000;0.428;-1.004;-0.312
1464540769000;0.404;-1.088;-0.364
1464540769000;0.384;-1.22;-0.388
1464540769000;0.364;-1.32;-0.432
1464540769000;0.336;-1.4;-0.44
1464540769000;0.12;-1.796;-0.356
1464540769000;0.08;-1.76;-0.392
1464540769000;0.024;-1.772;-0.384
1464540770000;0.032;-1.688;-0.296
1464540770000;0.112;-1.408;-0.32
1464540770000;0.164;-1.104;-0.24
1464540770000;0.204;-1.04;-0.24
1464540770000;0.248;-0.992;-0.232
1464540770000;0.332;-0.8;-0.2
1464540770000;0.344;-0.704;-0.18
1464540770000;0.328;-0.6;-0.172
1464540770000;0.356;-0.44;-0.084
1464540770000;0.352;-0.392;-0.02
1464540770000;0.364;-0.304;-0.028
1464540770000;0.372;0.036;-0.004
1464540770000;0.312;0.172;0.044
1464540770000;0.264;0.212;0.12
1464540770000;0.304;0.396;0.192
1464540770000;0.28;0.608;0.172
1464540770000;0.22;0.74;0.176
