timestamp;accel.x;accel.y;accel.z
1464530705790;16.072811;-1.695991;12.753316
1464530705823;2.9695683;-5.5619965;1.207828
1464530705858;7.413484;-5.5220375;0.51067424
1464530705893;4.3587976;-4.9579515;0.45548868
1464530705929;4.7538915;-6.185794;-1.3343934
1464530705963;4.0104494;-4.2577;-2.7626
1464530706006;3.3879104;-4.756712;-1.2332196
1464530706041;1.3732271;-6.8717437;-4.3925223
1464530706084;6.2683783;-3.6539488;-0.6099828
1464530706119;3.3665738;-7.0699377;-0.68662405
1464530706154;1.1108963;-6.5757275;-1.592668
1464530706188;0.44822097;-6.5978866;-2.0195227
1464530706222;3.2309315;-7.6020308;-0.051021755
1464530706257;-3.969535;-6.7242084;-4.1589847
1464530706292;0.7296138;-8.255199;-1.5950795
1464530706326;-0.12542129;-7.0051756;-2.9251506
1464530706366;-0.4731853;-6.9042277;-3.4837763
1464530706399;-0.06835079;-8.74593;-2.3579674
1464530706433;0.67345595;-7.4422016;-1.2850657
1464530706467;0.65194106;-8.612866;-1.2744031
1464530706501;-0.99663067;-7.9108043;-1.6668153
1464530706536;-1.5921941;-7.360299;-1.439563
1464530706574;-0.63686895;-7.2760906;7.9053664
1464530706608;-2.8518126;-7.408531;1.3465645
1464530706643;2.2616825;-8.79346;1.7609929
1464530706680;1.9143944;-8.7605095;1.5119257
1464530706716;1.8318555;-8.663541;1.5881698
1464530706757;0.30755448;-17.100311;-2.7588835
1464530706792;11.319641;-1.4128227;8.186513
1464530706827;1.532382;-7.919243;0.26631904
1464530706861;3.098751;-10.995206;3.9093251
1464530706896;3.581483;-11.1386175;3.970358
1464530706930;5.070748;-7.6789284;2.003902
1464530706964;-1.6719737;-0.9022913;-0.31360316
1464530707000;6.2935233;-5.727372;2.264623
1464530707033;4.26581;-6.7881274;5.103835
1464530707068;3.594147;-6.834883;6.413577
1464530707103;8.058986;-5.4782796;3.6244779
1464530707138;8.850281;-12.536303;5.624944
1464530707173;8.278523;-6.061531;4.058569
1464530707207;11.136326;-9.466412;2.110497
1464530707242;12.048801;-10.302382;0.81893635
1464530707276;8.932287;-4.6376467;3.567897
1464530707316;11.423344;-13.238611;1.1083561
1464530707351;9.1391535;-4.864212;3.094943
1464530707385;7.882169;-9.497501;3.2547777
1464530707419;6.895205;-11.5835285;3.0729358
1464530707453;8.371094;-4.2526884;3.106335
1464530707488;5.7255697;-16.732521;-2.4035947
1464530707524;8.149415;-5.5949316;2.5410173
1464530707559;8.897907;-8.219295;-0.5873983
