timestamp;accel-x;accel-y;accel-z
1464280041016;-9.724607;-0.71216816;-0.9822611
1464280041050;-9.721725;-0.82115084;-0.9239981
1464280041084;-9.728533;-0.8851628;-0.78238153
1464280041120;-9.730911;-0.94966197;-0.66895837
1464280041157;-9.728021;-1.0718727;-0.5066603
1464280041190;-9.719163;-1.2064178;-0.3498731
1464280041224;-9.71036;-1.3046876;-0.21610746
1464280041257;-9.711995;-1.3052273;-0.116372705
1464280041291;-9.70371;-1.3703947;-0.0050188066
1464280041324;-9.69029;-1.4583523;0.107064076
1464280041358;-9.674088;-1.5492644;0.22762905
1464280041392;-9.663747;-1.5991149;0.30792704
1464280041425;-9.668961;-1.5565017;0.35846996
1464280041459;-9.679347;-1.4833307;0.38727084
1464280041493;-9.683851;-1.4502084;0.3999084
1464280041526;-9.683464;-1.4486009;0.4148258
1464280041560;-9.686017;-1.4346076;0.4036757
1464280041594;-9.685523;-1.4418975;0.38932025
1464280041627;-9.679482;-1.4894465;0.3594069
1464280041661;-9.674542;-1.5311706;0.3142499
1464280041695;-9.677981;-1.5087332;0.31686532
1464280041729;-9.694949;-1.377319;0.38855037
1464280041764;-9.707916;-1.2708527;0.4257653
1464280041798;-9.716451;-1.2004784;0.43523923
1464280041833;-9.719328;-1.1772232;0.4345
1464280041868;-9.717329;-1.1942132;0.4328855
1464280041901;-9.713353;-1.2272056;0.42981797
1464280041936;-9.710767;-1.2460169;0.43411538
1464280041970;-9.709424;-1.2433953;0.47015038
1464280042005;-9.707473;-1.2238936;0.55411375
1464280042039;-9.702691;-1.1923147;0.6900526
1464280042073;-9.693675;-1.1418065;0.876886
1464280042107;-9.680273;-1.0418066;1.1166651
1464280042141;-9.661704;-0.8379678;1.4104242
1464280042175;-9.621947;-0.53563845;1.7807937
1464280042208;-9.54321;-0.15140067;2.2235627
1464280042242;-9.410765;0.30458757;2.717487
1464280042277;-9.216994;0.84117466;3.2217107
1464280042311;-8.959733;1.46128;3.6915886
1464280042346;-8.629428;2.1458902;4.119239
1464280042380;-8.204721;2.8870866;4.515225
1464280042414;-7.6935377;3.6535988;4.8477488
1464280042448;-7.1006913;4.439131;5.0906086
1464280042483;-6.4517612;5.2221174;5.2100167
1464280042517;-5.771433;5.9824452;5.1904635
1464280042551;-5.094109;6.667837;5.0626082
1464280042585;-4.4572725;7.248815;4.860803
1464280042620;-3.8451452;7.7487264;4.605659
1464280042654;-3.2996407;8.162883;4.3034525
1464280042688;-2.755611;8.55636;3.903243
1464280042723;-2.6961215;8.647718;3.7400413
1464280042756;-2.6827683;8.706689;3.6105862
1464280042790;-2.6793613;8.760715;3.4800744
1464280042823;-2.6799364;8.80475;3.3666456
1464280042857;-2.6688848;8.838686;3.2855263
1464280042891;-2.634368;8.872916;3.2204769
1464280042924;-2.597139;8.910939;3.1448436
1464280042958;-2.573952;8.9450445;3.0660965
1464280042992;-2.5787387;8.967961;2.9942923
1464280043026;-2.621438;8.974623;2.9367015
1464280043061;-2.6876545;8.975608;2.873147
1464280043095;-2.764574;8.982111;2.7782762
1464280043128;-2.898433;8.978789;2.649611
1464280043162;-3.1502798;8.946969;2.4632275
1464280043197;-3.5340292;8.866781;2.2205505
1464280043231;-4.0525537;8.715393;1.9127859
1464280043264;-4.649844;8.47826;1.593128
1464280043298;-5.2167864;8.192054;1.3097287
1464280043332;-5.7431016;7.871064;1.050299
