timestamp;accel-x;accel-y;accel-z
1464094450787;3.9666061;8.785757;-1.7653658
1464094450821;4.6334114;8.586577;-0.91771525
1464094450856;5.2640114;8.265706;-0.09105977
1464094450891;5.800966;7.8694024;0.6792003
1464094450927;6.165466;7.5119324;1.2640837
1464094450961;6.315774;7.3354483;1.5304271
1464094450996;6.4214153;7.1892157;1.7665267
1464094451030;6.5040474;7.0520043;2.0016503
1464094451064;6.5649996;6.9373927;2.1939418
1464094451098;6.5867815;6.8742266;2.3236477
1464094451132;6.5718164;6.863412;2.3968346
1464094451167;6.539472;6.8863354;2.4194398
1464094451201;6.5584183;6.8802314;2.3852859
1464094451235;6.57426;6.8620777;2.3939528
1464094451270;6.5974627;6.835527;2.4060512
1464094451304;6.622858;6.8103404;2.4077005
1464094451338;6.642013;6.7939873;2.4011254
1464094451372;6.646787;6.7882886;2.4040318
1464094451408;6.633284;6.7926426;2.428901
1464094451443;6.638414;6.787224;2.4300363
1464094451477;6.625585;6.7946296;2.4443061
1464094451511;6.6035895;6.8086452;2.4647446
1464094451546;6.5869207;6.8196716;2.478824
1464094451580;6.5758977;6.82685;2.4883091
1464094451615;6.549235;6.8428483;2.5145495
1464094451649;6.533756;6.8517804;2.5304441
1464094451683;6.51256;6.862179;2.5567694
1464094451717;6.4829464;6.875082;2.5970519
1464094451752;6.4336376;6.8966975;2.6615555
1464094451786;6.288212;6.9664054;2.8226938
1464094451821;6.123969;6.9407673;3.219124
1464094451855;5.9176407;6.8992;3.6636827
1464094451889;5.656137;6.8583956;4.1243834
1464094451925;5.385561;6.778353;4.5923495
1464094451960;5.1621943;6.605237;5.075689
1464094451994;4.92301;6.4757957;5.465168
1464094452028;4.6811953;6.219461;5.953549
1464094452063;4.364198;5.8981247;6.4966073
1464094452097;4.0029817;5.512798;7.044516
1464094452131;3.6561806;5.0636754;7.551923
1464094452165;3.374298;4.5579987;7.9924207
1464094452200;3.1500328;3.9718275;8.38701
1464094452233;3.013309;3.3084724;8.7186
1464094452268;2.8290477;2.7067034;8.98389
1464094452302;2.5997;2.1930034;9.190882
1464094452337;2.3960488;1.7046114;9.348436
1464094452371;2.3490155;1.195941;9.43885
1464094452405;2.3228683;0.79301643;9.487647
1464094452440;2.2675998;0.41170686;9.525152
1464094452475;2.2280312;0.09270598;9.54292
1464094452510;2.2217968;-0.12981956;9.5439415
1464094452544;2.2380755;-0.21903656;9.538506
1464094452579;2.2381594;-0.21872346;9.538492
1464094452613;2.238344;-0.16319767;9.539559
1464094452647;2.267127;-0.0887053;9.533744
1464094452682;2.3028338;-0.011920834;9.52559
1464094452716;2.3354917;0.056892075;9.517474
1464094452750;2.3692653;0.1149378;9.508597
1464094452783;2.4120462;0.16540682;9.497088
1464094452818;2.4596393;0.20807193;9.484035
1464094452852;2.4961286;0.24337882;9.473656
1464094452887;2.5161884;0.28008294;9.467333
1464094452921;2.5189242;0.325789;9.465142
1464094452955;2.5078378;0.38342527;9.465925
1464094452990;2.506128;0.4383646;9.463993
1464094453024;2.5197558;0.48218393;9.458243
1464094453057;2.5501187;0.5146841;9.448387
1464094453093;2.6058042;0.53846794;9.431854
1464094453127;2.6949396;0.554317;9.405852
1464094453162;2.8345242;0.5747655;9.3635025
1464094453196;3.007952;0.64825785;9.304408
1464094453230;3.1872673;0.7969996;9.232883
1464094453265;3.371701;1.0280019;9.144117
1464094453299;3.5731301;1.3397948;9.0265
1464094453334;3.8093;1.7151865;8.864952
1464094453368;4.1269546;2.1167758;8.632934
1464094453402;4.5384645;2.4422498;8.335334
1464094453436;4.975827;2.6324341;8.021936
1464094453471;5.4155703;2.693331;7.710875
1464094453505;5.83883;2.6678321;7.404779
1464094453539;6.2376075;2.650673;7.078575
1464094453574;6.5984335;2.7356024;6.709483
1464094453609;6.9185176;2.854198;6.326744
1464094453644;7.1991677;2.9815664;5.943251
1464094453679;7.4400544;3.106938;5.570686
1464094453712;7.6364665;3.205164;5.2394023
1464094453747;7.7941346;3.2423038;4.977849
1464094453781;7.918711;3.214073;4.7962265
1464094453816;7.9849043;3.20733;4.689817
1464094453850;8.001547;3.2265563;4.6480775
1464094453885;7.984447;3.262049;4.6527047
1464094453919;7.951098;3.302762;4.6810093
1464094453953;7.8999896;3.3594198;4.726995
1464094453987;7.8315425;3.4330575;4.787594
1464094454021;7.76744;3.502502;4.841426
1464094454056;7.7081485;3.5711887;4.8858056
1464094454090;7.6464624;3.6471233;4.92647
1464094454125;7.5738506;3.7408018;4.968221
1464094454160;7.505872;3.883096;4.962205
1464094454195;7.468481;4.126067;4.820515
1464094454229;7.471073;4.4271436;4.5413103
1464094454263;7.500896;4.795588;4.096207
1464094454297;7.5359707;5.163692;3.547598
1464094454331;7.549599;5.524311;2.9198527
1464094454365;7.451647;5.9807467;2.1779919
1464094454399;7.1731224;6.539346;1.3502904
1464094454434;6.665949;7.1706905;0.43166965
1464094454468;5.9560127;7.7656803;-0.5100226
1464094454502;5.091388;8.246924;-1.4512103
1464094454537;4.182273;8.547177;-2.3440077
1464094454571;3.2700944;8.6776285;-3.1694248
1464094454605;2.3187177;8.691355;-3.8889453
1464094454639;1.2779104;8.606763;-4.5089445
1464094454674;0.19251017;8.42681;-4.999182
1464094454708;-0.8977015;8.149134;-5.368962
1464094454742;-1.932797;7.766756;-5.655245
1464094454776;-2.9869902;7.2431927;-5.88677
1464094454810;-3.9464145;6.6677523;-6.0005755
1464094454845;-4.875028;6.034979;-5.9877486
1464094454879;-5.725631;5.400158;-5.839132
1464094454914;-6.4618607;4.788915;-5.5991673
1464094454948;-7.12629;4.1190376;-5.3187914
1464094454982;-7.708971;3.4002526;-5.0050025
1464094455017;-8.188168;2.6918502;-4.6634636
1464094455051;-8.553438;2.048894;-4.3221254
1464094455085;-8.800769;1.5294176;-4.030805
1464094455119;-8.920222;1.2172819;-3.871421
1464094455154;-8.956321;1.0917283;-3.8252373
1464094455188;-9.090647;1.4002447;-3.3822262
1464094455222;-8.959213;1.0700467;-3.824587
1464094455256;-8.957303;1.0801369;-3.8262265
1464094455291;-8.955827;1.1011455;-3.8237007
1464094455325;-8.958898;1.1173749;-3.8117747
1464094455361;-8.970948;1.1269814;-3.7804782
1464094455395;-8.982956;1.1465957;-3.7459073
1464094455430;-8.99195;1.1800901;-3.7137923
1464094455464;-8.999304;1.2180758;-3.6835845
1464094455498;-9.007562;1.251309;-3.652132
1464094455533;-9.019617;1.2737108;-3.614439
1464094455567;-9.035176;1.2852252;-3.5712457
1464094455601;-9.053365;1.2908485;-3.5228245
1464094455634;-9.073347;1.2926617;-3.4703634
1464094455668;-9.093552;1.293077;-3.4169142
1464094455702;-9.086592;1.2534943;-3.4500153
1464094455736;-9.075162;1.2028348;-3.4978008
1464094455771;-9.062879;1.1743078;-3.5391076
1464094455805;-9.048196;1.1543611;-3.5829616
1464094455839;-9.032634;1.1391896;-3.6268127
1464094455873;-9.017912;1.12702;-3.667027
1464094455908;-9.000492;1.1338928;-3.7074778
1464094455941;-8.97709;1.1666424;-3.75378
1464094455976;-8.946391;1.2216536;-3.809164
1464094456010;-8.910252;1.2918556;-3.870214
1464094456046;-8.87042;1.3733417;-3.9331403
1464094456080;-8.828338;1.4633315;-3.99489
1464094456115;-8.782956;1.5649891;-4.055923
1464094456149;-8.7167635;1.7235191;-4.1337085
1464094456184;-8.610265;1.9852756;-4.2381663
1464094456218;-8.423415;2.3908136;-4.40115
1464094456252;-8.110898;2.948009;-4.6435523
1464094456287;-7.682083;3.555089;-4.9383154
1464094456321;-7.245113;4.0759506;-5.18989
1464094456355;-6.772862;4.6003075;-5.385676
1464094456389;-6.223437;5.1611753;-5.5381513
1464094456424;-5.5365977;5.7677817;-5.6673455
1464094456458;-4.7112765;6.3563933;-5.782746
1464094456492;-3.8077426;6.8820653;-5.8462205
1464094456526;-2.8908548;7.3569183;-5.7929897
1464094456562;-1.9390904;7.789205;-5.622119
1464094456596;-0.89737505;8.173232;-5.3322616
1464094456630;0.13197717;8.462187;-4.94105
1464094456664;1.0798528;8.690851;-4.398072
1464094456698;1.9573588;8.83627;-3.7588656
1464094456732;2.7894943;8.879483;-3.0681436
1464094456767;3.532335;8.845964;-2.3046753
1464094456801;4.2124524;8.726198;-1.4658494
1464094456836;4.862186;8.486863;-0.61016554
1464094456870;5.4711394;8.128135;0.2001566
1464094456906;5.965702;7.7184825;0.9356431
1464094456939;6.2150717;7.4563866;1.3472936
1464094456973;6.3463306;7.294846;1.5966595
1464094457006;6.4428873;7.155337;1.8249328
1464094457040;6.5224314;7.018836;2.0576284
1464094457075;6.57833;6.910443;2.2386093
1464094457109;6.5854487;6.866579;2.3498912
1464094457143;6.5614653;6.8705688;2.4046745
1464094457178;6.544727;6.884661;2.4099793
1464094457214;6.563071;6.876406;2.3835166
1464094457248;6.579051;6.855932;2.3983924
1464094457282;6.605798;6.826277;2.4094393
1464094457317;6.6302757;6.804167;2.4047427
1464094457351;6.643666;6.7921104;2.401869
1464094457385;6.642491;6.78968;2.4119656
1464094457420;6.6320314;6.792448;2.4328604
1464094457454;6.6408987;6.785186;2.428935
1464094457488;6.6189537;6.7987585;2.4507856
1464094457522;6.598722;6.811878;2.4688435
1464094457557;6.583891;6.821648;2.481433
1464094457591;6.568603;6.8312483;2.4954956
1464094457625;6.5428624;6.846621;2.5208592
1464094457660;6.530347;6.8537035;2.5340328
1464094457694;6.5052567;6.8655567;2.5662808
1464094457730;6.4739175;6.878657;2.6100712
1464094457765;6.388827;6.9186993;2.7119164
1464094457799;6.2373877;6.9638224;2.9394195
1464094457833;6.066829;6.9278374;3.3524113
1464094457868;5.8438168;6.8834147;3.8089929
1464094457902;5.562813;6.846043;4.2692904
1464094457936;5.3208604;6.725913;4.74242
1464094457971;5.0978336;6.5716996;5.1831326
1464094458005;4.858424;6.4166718;5.5912485
1464094458040;4.611996;6.138297;6.090224
1464094458074;4.2652597;5.7975326;6.65103
1464094458108;3.900547;5.3946395;7.191914
1464094458143;3.5760689;4.926542;7.679905
1464094458177;3.3109462;4.3940873;8.10985
1464094458213;3.097724;3.785346;8.492074
1464094458247;2.975352;3.0898898;8.811349
1464094458281;2.7618637;2.5427458;9.052435
1464094458316;2.5164075;2.026503;9.252081
1464094458350;2.3787274;1.5325608;9.382587
1464094458385;2.3381343;1.0592211;9.457863
1464094458419;2.3112798;0.65703607;9.500857
1464094458453;2.2482708;0.28493702;9.534366
1464094458488;2.2209365;9.328485E-4;9.545022
1464094458521;2.2268722;-0.15909944;9.542313
1464094458555;2.2381058;-0.2189688;9.538501
1464094458589;2.238253;-0.20583765;9.538756
1464094458624;2.2383;-0.14783166;9.53982
1464094458658;2.2777326;-0.06698518;9.531395
1464094458692;2.3113556;0.007267106;9.523529
1464094458727;2.343942;0.07217747;9.51529
1464094458761;2.3808243;0.12861276;9.505534
1464094458797;2.4253588;0.17878914;9.493457
1464094458831;2.4732914;0.21967968;9.480221
1464094458866;2.506094;0.2539369;9.470747
1464094458900;2.5184112;0.29442263;9.466307
1464094458935;2.5150921;0.3453724;9.465466
1464094458969;2.5072343;0.40182522;9.4653225
1464094459004;2.508316;0.45531183;9.462615
1464094459038;2.5259497;0.4966019;9.455846
1464094459072;2.5665035;0.5253806;9.44336
1464094459107;2.637587;0.54438394;9.422675
1464094459141;2.7464242;0.5626023;9.390456
1464094459175;2.8924387;0.5989086;9.344256
1464094459210;3.069069;0.6811733;9.282072
1464094459244;3.249393;0.8546662;9.206031
1464094459278;3.434744;1.1212792;9.109628
1464094459314;3.6470077;1.4637531;8.977571
1464094459348;3.9140651;1.849241;8.7920685
1464094459382;4.2691793;2.2419918;8.531564
1464094459418;4.694958;2.5462518;8.216691
1464094459452;5.1503386;2.6749198;7.8967586
1464094459486;5.5771337;2.6836975;7.598247
1464094459519;5.9792027;2.6683292;7.2917204
1464094459555;6.366506;2.6876972;6.9486604
1464094459589;6.7253294;2.7728462;6.566679
1464094459622;7.026268;2.893183;6.188788
1464094459657;7.2921257;3.0283322;5.8046646
1464094459691;7.5121646;3.1469517;5.4501476
1464094459725;7.691592;3.2186193;5.1497498
1464094459760;7.837663;3.2336178;4.9147534
1464094459794;7.9516892;3.207189;4.7460093
1464094459828;8.001841;3.207327;4.6608615
1464094459862;7.9988127;3.236503;4.645865
1464094459896;7.976155;3.272464;4.659611
1464094459932;7.936577;3.3189113;4.6942115
1464094459965;7.8829904;3.3778548;4.7422156
1464094460000;7.813348;3.4524395;4.803361
1464094460033;7.752381;3.5188248;4.853709
1464094460068;7.691575;3.591671;4.8968954
1464094460102;7.6241584;3.6744158;4.9407363
1464094460137;7.5535617;3.7837145;4.966612
1464094460172;7.491734;3.9470413;4.93303
1464094460206;7.4585223;4.193375;4.777662
1464094460240;7.4739304;4.5353374;4.428443
1464094460274;7.5118046;4.89741;3.9532468
1464094460308;7.5450516;5.258423;3.3854408
1464094460342;7.5303125;5.654129;2.7138977
1464094460376;7.402858;6.112577;1.9682761
1464094460411;7.0647187;6.701829;1.102392
1464094460445;6.485794;7.3447886;0.16897474
1464094460480;5.72688;7.914932;-0.7724714
1464094460515;4.84489;8.345768;-1.7073982
1464094460549;3.900179;8.603023;-2.6108634
1464094460584;2.9760158;8.692492;-3.409388
1464094460618;1.9840809;8.670308;-4.11451
1464094460653;0.9200544;8.557724;-4.686029
1464094460687;-0.16122025;8.3497505;-5.1279316
1464094460721;-1.2468208;8.032294;-5.4742765
1464094460755;-2.298215;7.6012506;-5.742752
1464094460789;-3.3050506;7.0592413;-5.940013
1464094460823;-4.293882;6.43474;-6.016371
1464094460857;-5.171441;5.8228784;-5.9489756
1464094460891;-5.9578233;5.2180986;-5.7719874
1464094460926;-6.66823;4.5925426;-5.521165
1464094460960;-7.3047795;3.9163537;-5.2289953
1464094460994;-7.860171;3.1888587;-4.908046
1464094461028;-8.308293;2.4925034;-4.5606713
1464094461063;-8.635192;1.8877196;-4.2320237
1464094461098;-8.837501;1.4367502;-3.984261
1464094461133;-8.935655;1.1683644;-3.850848
1464094461167;-8.96451;1.0613327;-3.814605
1464094461201;-9.012856;1.1807876;-3.662541
1464094461235;-8.95833;1.0716864;-3.8262024
1464094461269;-8.956113;1.0866756;-3.827168
1464094461303;-8.956165;1.1058805;-3.8215396
1464094461337;-8.960729;1.1211121;-3.806372
1464094461372;-8.973726;1.1292945;-3.7731855
1464094461406;-8.985209;1.1534569;-3.7383902
1464094461440;-8.992969;1.1902258;-3.7080896
1464094461474;-9.000167;1.2273833;-3.6783895
1464094461509;-9.009416;1.2578162;-3.6453183
1464094461543;-9.022026;1.2778044;-3.6069782
1464094461577;-9.038592;1.2872146;-3.561876
1464094461611;-9.057444;1.2918445;-3.5119622
1464094461646;-9.078275;1.2924794;-3.4575195
1464094461680;-9.09369;1.2965461;-3.4152305
1464094461716;-9.082096;1.2284031;-3.4708166
1464094461750;-9.071823;1.1923965;-3.5100152
1464094461785;-9.058562;1.1678603;-3.5522604
1464094461819;-9.043445;1.1491479;-3.5966098
1464094461853;-9.028169;1.1348898;-3.6392584
1464094461888;-9.012468;1.1281824;-3.6800277
1464094461923;-8.993977;1.1402732;-3.721317
