timestamp;accel-x;accel-y;accel-z
1464533668543;4.113923;-1.2042192;8.812803
1464533668606;2.8037608;-3.0096064;8.895014
1464533668641;1.0650243;-4.3977337;8.692853
1464533668689;-0.19808471;-5.046354;8.3985195
1464533668723;-0.6399089;-5.1976566;8.283415
1464533668772;-0.60866666;-5.081531;8.3574915
1464533668808;-0.15842433;-4.7761726;8.555886
1464533668855;0.8493644;-4.0254498;8.894625
1464533668889;1.6580362;-3.2917051;9.080506
1464533668925;2.5977874;-2.2635658;9.174302
1464533668973;3.7862978;-0.5784034;9.0205
1464533669024;4.6974344;1.3251665;8.498122
1464533669072;5.2241635;3.5279522;7.5034456
1464533669107;5.2169185;4.8515325;6.7295184
1464533669142;4.8809595;6.0354705;5.982419
1464533669176;3.9802961;7.3621736;5.098593
1464533669211;3.1188254;8.106982;4.5375967
1464533669259;2.2006311;8.639414;4.069123
1464533669307;0.9938525;9.072987;3.568356
1464533669342;-0.36763597;9.306532;3.048492
1464533669390;-1.1190119;9.332542;2.77335
1464533669440;-2.0229611;9.262079;2.4822428
1464533669475;-2.7633338;9.122509;2.2768013
1464533669509;-3.1595156;9.021768;2.1599004
1464533669543;-3.348225;8.9682665;2.0975194
1464533669577;-3.792022;8.83012;1.9208215
1464533669611;-4.1806655;8.685988;1.7651241
1464533669645;-4.633949;8.484473;1.6063088
1464533669689;-5.087791;8.247926;1.4581162
1464533669723;-5.5826497;7.9531302;1.2734829
1464533669759;-5.9034452;7.740218;1.1306417
1464533669807;-6.5168457;7.273989;0.8122914
1464533669858;-7.1256733;6.7122793;0.45838112
1464533669891;-7.6730986;6.0948057;0.13007425
1464533669926;-8.066098;5.5654626;-0.060818274
1464533669975;-8.420855;5.007858;-0.22494937
1464533670024;-8.825706;4.2303114;-0.50140953
1464533670060;-9.02249;3.7423136;-0.79359996
1464533670094;-9.143211;3.2725072;-1.3162088
1464533670141;-9.143092;3.0769665;-1.7251567
1464533670190;-9.100736;2.831121;-2.280653
1464533670224;-9.08858;2.5844529;-2.5996802
1464533670259;-9.0831995;2.4045048;-2.7845814
1464533670293;-9.479437;1.6325123;-1.8748817
1464533670342;-9.094211;2.174526;-2.9337327
1464533670391;-9.092659;2.0777912;-3.0077176
1464533670441;-9.087962;2.002487;-3.0722926
1464533670489;-9.092715;1.9457887;-3.0945852
1464533670529;-9.107448;1.3565509;-3.3547256
1464533670573;-9.093571;1.4604739;-3.3487306
1464533670624;-9.097488;1.5543534;-3.2954066
1464533670674;-9.097658;1.6578242;-3.2441103
1464533670713;-9.101048;1.7640345;-3.1779077
1464533670747;-9.113119;1.8868341;-3.0709865
1464533670790;-9.124622;2.0877213;-2.9021907
1464533670840;-9.106308;2.4990916;-2.6210108
1464533670880;-8.988994;3.1687608;-2.2796855
1464533670926;-8.776077;3.938963;-1.872181
1464533670976;-8.244809;5.162363;-1.1887532
1464533671023;-7.3252015;6.498468;-0.3890425
1464533671059;-6.5633044;7.275462;0.17519443
1464533671095;-5.012032;8.349885;1.0949719
1464533671143;-3.511463;9.010588;1.587121
1464533671190;-0.99909526;9.502637;2.1775467
1464533671241;1.3223753;9.175868;3.1772263
1464533671279;2.8179772;8.297214;4.38808
1464533671324;3.6177578;7.4583135;5.2273703
1464533671363;4.5074153;5.9351635;6.363731
1464533671407;4.8573184;4.7467823;7.0650225
1464533671460;4.944666;2.9648237;7.9246516
1464533671493;4.608128;1.2672294;8.555659
1464533671542;4.0719976;-0.040115405;8.913881
1464533671589;3.196998;-1.394303;9.158339
1464533671640;2.05128;-2.5224292;9.244978
1464533671689;0.6584533;-3.4945052;9.132081
