timestamp;accel-x;accel-y;accel-z
1464529003967;-9.105591;1.1328413;-3.4416409
1464529004001;-9.106745;1.1321509;-3.438817
1464529004049;-9.109678;1.1303624;-3.431627
1464529004083;-9.111029;1.1322391;-3.4274185
1464529004117;-9.112945;1.1355786;-3.4212134
1464529004152;-9.112752;1.1399415;-3.420275
1464529004190;-9.112311;1.1445823;-3.4199054
1464529004251;-9.111895;1.1494031;-3.4193969
1464529004287;-9.11109;1.1597375;-3.4180474
1464529004335;-9.111575;1.1639735;-3.4153106
1464529004386;-9.112405;1.1690384;-3.4113681
1464529004436;-9.115647;1.1697091;-3.4024713
1464529004486;-9.120206;1.1681728;-3.3907552
1464529004520;-9.126373;1.1626762;-3.376021
1464529004556;-9.131187;1.1576697;-3.3647063
1464529004602;-9.135064;1.1530749;-3.3557475
1464529004651;-9.1423855;1.1446915;-3.3386335
1464529004687;-9.148204;1.1390296;-3.3246088
1464529004732;-9.1509495;1.1374186;-3.3175888
1464529004769;-9.152708;1.1393187;-3.3120854
1464529004818;-9.153929;1.1443597;-3.3069656
1464529004854;-9.15242;1.1533699;-3.3080091
1464529004888;-9.149081;1.167115;-3.312429
1464529004923;-9.1453285;1.1781906;-3.318862
1464529004972;-9.140404;1.1926804;-3.3272426
1464529005065;-9.133296;1.2123362;-3.3396392
1464529005121;-9.125076;1.2352386;-3.3536887
1464529005155;-9.11901;1.2535609;-3.3633723
1464529005230;-9.117691;1.2595019;-3.3647292
1464529005266;-9.118377;1.2712424;-3.358449
1464529005314;-9.120632;1.2774189;-3.3499756
1464529005349;-9.122243;1.2821777;-3.343755
1464529005382;-9.123753;1.2865797;-3.3379443
1464529005422;-9.126319;1.2921032;-3.3287787
1464529005451;-9.128079;1.295907;-3.3224657
1464529005487;-9.128327;1.3018861;-3.3194518
1464529005530;-9.128337;1.3081952;-3.3169432
1464529005567;-9.128239;1.3135108;-3.3151107
1464529005601;-9.127922;1.3210502;-3.3129885
1464529005637;-9.126993;1.3265841;-3.3133328
1464529005682;-9.125306;1.3316112;-3.3159573
1464529005718;-9.123424;1.3371463;-3.3189096
1464529005753;-9.1213455;1.3478025;-3.3203213
1464529005787;-9.119906;1.3553156;-3.3212142
1464529005830;-9.1198635;1.3601755;-3.3193462
1464529005882;-9.119801;1.3659863;-3.3171303
1464529005917;-9.120778;1.37089;-3.3124187
1464529005951;-9.122349;1.3745853;-3.3065524
1464529005998;-9.12214;1.375771;-3.3066335
1464529006048;-9.121612;1.377073;-3.3075483
1464529006083;-9.121006;1.3774778;-3.3090556
1464529006117;-9.120523;1.3777056;-3.3102913
1464529006152;-9.120048;1.3772348;-3.3117964
1464529006186;-9.119575;1.3766805;-3.313328
1464529006222;-9.119209;1.375528;-3.3148122
1464529006266;-9.119026;1.3740197;-3.3159328
1464529006300;-9.118831;1.3723767;-3.3171604
1464529006334;-9.119182;1.3690208;-3.3175747
1464529006369;-9.119498;1.3665016;-3.3177447
1464529006404;-9.119897;1.364335;-3.3175466
1464529006439;-9.1203165;1.3621831;-3.317268
1464529006482;-9.121328;1.3593442;-3.3156555
1464529006517;-9.124249;1.3527611;-3.3102992
1464529006551;-9.126548;1.3478509;-3.3059783
1464529006585;-9.129524;1.3418924;-3.30017
1464529006620;-9.132548;1.3358431;-3.2942517
