timestamp;accel-x;accel-y;accel-z
1464530324331;-9.059895;1.1693755;-3.548371
1464530324377;-9.039047;1.1417621;-3.6099944
1464530324427;-9.016193;1.1244708;-3.6720376
1464530324461;-8.99888;1.1325984;-3.7117946
1464530324511;-8.966581;1.1736945;-3.7766225
1464530324544;-8.930002;1.2493709;-3.8385081
1464530324593;-8.880349;1.3457785;-3.9202466
1464530324627;-8.832543;1.4536443;-3.9891229
1464530324677;-8.77582;1.5760063;-4.0670834
1464530324712;-8.695235;1.7728747;-4.158104
1464530324757;-8.560697;2.1029816;-4.2815847
1464530324791;-8.283257;2.654056;-4.514827
1464530324825;-7.9196424;3.2303772;-4.783718
1464530324861;-7.5114794;3.7677271;-5.0420184
1464530324894;-6.9356694;4.4219437;-5.327564
1464530324929;-6.4144707;4.9713864;-5.4936213
1464530324977;-5.7845006;5.5668473;-5.6204786
1464530325025;-4.6433687;6.399426;-5.790207
1464530325060;-3.7094996;6.933432;-5.848688
1464530325094;-2.4366658;7.5664783;-5.731585
1464530325144;-1.4204764;7.9940147;-5.4879856
1464530325178;-0.08734006;8.397123;-5.0518017
1464530325214;1.0680245;8.688632;-4.405339
1464530325261;1.920538;8.832103;-3.7875464
1464530325312;3.1092932;8.868949;-2.7774177
1464530325361;4.103757;8.754632;-1.5986309
1464530325395;4.9236197;8.456511;-0.5342333
1464530325444;5.614419;8.022087;0.4054938
1464530325478;6.1633267;7.514284;1.2605361
1464530325512;6.2918;7.366228;1.480521
1464530325561;6.4159384;7.197227;1.7537606
1464530325611;6.5320807;7.0009456;2.087749
1464530325645;6.587541;6.8788114;2.3078709
1464530325679;6.583455;6.8559585;2.3862023
1464530325728;6.5402007;6.885196;2.4207141
1464530325777;6.5628905;6.876636;2.3833487
1464530325811;6.5887995;6.845117;2.402519
1464530325861;6.616276;6.815808;2.4103248
1464530325895;6.6425843;6.7933383;2.4013822
1464530325944;6.644869;6.788911;2.4075742
1464530325978;6.632604;6.7919803;2.4326074
1464530326026;6.6387396;6.7864056;2.4314327
1464530326061;6.613004;6.8024516;2.456595
1464530326095;6.588164;6.8188596;2.4777546
1464530326130;6.576601;6.826394;2.4877064
1464530326175;6.5501103;6.842326;2.5136902
1464530326210;6.530762;6.85347;2.5335963
1464530326243;6.5062075;6.8651166;2.5650442
1464530326278;6.4756618;6.877969;2.6075609
1464530326327;6.395462;6.9154725;2.7045
1464530326377;6.17402;6.9516244;3.0978076
1464530326412;5.8859415;6.892541;3.7267396
1464530326457;5.6161017;6.8532925;4.187099
1464530326492;5.3321753;6.7351117;4.7165866
1464530326528;5.0866246;6.565757;5.2016435
1464530326562;4.8187413;6.3738656;5.6739397
1464530326612;4.5597057;6.088327;6.1791067
1464530326645;4.0567613;5.5734057;6.96562
1464530326695;3.6894093;5.1196156;7.497853
1464530326728;3.3107803;4.3936577;8.110149
1464530326778;3.0933366;3.7608993;8.504525
1464530326812;2.8817015;2.8336315;8.927842
1464530326861;2.6531734;2.2978466;9.149896
1464530326895;2.386812;1.6146696;9.366749
1464530326941;2.3423164;1.1146271;9.450459
1464530326975;2.3211353;0.74994063;9.491573
1464530327011;2.268442;0.4169266;9.524725
1464530327045;2.2259188;0.06706579;9.543627
1464530327079;2.2281313;-0.16611712;9.541903
1464530327114;2.2381277;-0.2188987;9.538497
1464530327161;2.2383075;-0.19407104;9.538991
1464530327211;2.263683;-0.09576621;9.534495
1464530327261;2.3143692;0.014028943;9.52279
1464530327294;2.3596148;0.100362115;9.511159
1464530327329;2.4012928;0.15275642;9.500026
1464530327377;2.4498062;0.19969265;9.486761
1464530327412;2.4979734;0.24533331;9.473118
1464530327461;2.5176198;0.28934366;9.466674
1464530327511;2.5114722;0.36400074;9.46573
1464530327545;2.506054;0.44100484;9.463891
1464530327578;2.520372;0.4836244;9.458006
1464530327612;2.546934;0.5125953;9.449361
1464530327661;2.6120105;0.5396473;9.430071
1464530327694;2.755982;0.5640427;9.387568
1464530327729;2.9089737;0.6062691;9.338647
1464530327776;3.0811915;0.69343764;9.277146
1464530327810;3.3321984;0.96783704;9.165141
1464530327845;3.5319808;1.2692306;9.0528555
1464530327880;3.7591794;1.645516;8.899488
1464530327928;4.0573688;2.0300524;8.686581
1464530327962;4.6293955;2.5077834;8.265578
1464530328012;5.083364;2.6596088;7.9451833
1464530328046;5.692095;2.6703048;7.517283
1464530328081;6.1091304;2.6607828;7.1860127
1464530328126;6.4621673;2.710346;6.850872
1464530328160;6.7920623;2.8025959;6.484857
1464530328194;7.1945696;2.979212;5.9500003
1464530328243;7.4395666;3.1066623;5.5714927
1464530328277;7.697298;3.2199821;5.140364
1464530328311;7.8406153;3.2329316;4.9104905
1464530328358;7.954516;3.2072067;4.741261
1464530328391;8.0046625;3.2152197;4.650567
1464530328426;7.99402;3.250013;4.644681
1464530328462;7.9753613;3.2734559;4.6602693
1464530328512;7.9125853;3.345502;4.7157845
1464530328547;7.816228;3.4493747;4.8008766
1464530328594;7.7561383;3.5147564;4.850654
1464530328628;7.6754036;3.611592;4.9076047
1464530328678;7.602812;3.700458;4.954178
1464530328728;7.5031276;3.888752;4.961926
1464530328762;7.4600663;4.239393;4.734445
1464530328811;7.474391;4.5900726;4.3708973
1464530328861;7.5315213;5.1273417;3.6092362
1464530328895;7.5262537;5.6768894;2.677392
1464530328928;7.426495;6.057376;2.0482707
1464530328962;7.053497;6.717615;1.0778834
1464530329012;6.46318;7.36536;0.13709353
1464530329047;5.3043838;8.148705;-1.2256194
1464530329095;4.4313083;8.481689;-2.112925
1464530329147;3.1001403;8.687374;-3.3103883
1464530329180;1.6581762;8.644168;-4.3091564
1464530329226;0.6199292;8.506417;-4.8266516
1464530329261;-0.34381577;8.305194;-5.19091
1464530329311;-2.0160031;7.7312303;-5.6748395
1464530329360;-3.5091476;6.9390774;-5.964487
1464530329394;-4.3447976;6.399232;-6.01769
1464530329444;-5.6809716;5.4341373;-5.8512154
1464530329478;-6.689205;4.5720325;-5.5128083
1464530329511;-7.3285294;3.8877609;-5.217087
1464530329545;-7.8584924;3.1912718;-4.9091663
1464530329594;-8.312943;2.4845622;-4.5565324
1464530329628;-8.744545;1.6584107;-4.101544
1464530329678;-8.890671;1.2975339;-3.913112
1464530329727;-8.962481;1.0688651;-3.8172638
1464530329763;-8.96322;1.0663282;-3.8162346
1464530329811;-8.95999;1.0725561;-3.8220727
1464530329844;-8.952303;1.101482;-3.8318446
1464530329894;-8.961262;1.1179812;-3.8060348
1464530329944;-8.977937;1.1348338;-3.7614937
