timestamp;x_accel;y_accel;z_accel
1464540726000;-0.016;-1.812;-0.244
1464540726000;-0.02;-1.936;-0.552
1464540726000;-0.024;-1.756;-0.52
1464540726000;-0.024;-1.792;-0.376
1464540726000;0.02;-1.536;-0.34
1464540726000;0.06;-1.372;-0.296
1464540726000;0.056;-1.24;-0.248
1464540726000;0.016;-0.972;-0.144
1464540726000;0.012;-0.832;-0.092
1464540726000;0.02;-0.692;-0.06
1464540726000;-0.024;-0.356;-0.048
1464540727000;-0.064;-0.188;-0.024
1464540727000;-0.052;0.016;-0.012
1464540727000;0.2;0.62;0.12
1464540727000;0.336;0.716;0.256
1464540727000;0.288;0.912;0.548
1464540727000;0.348;1.388;0.712
1464540727000;0.452;1.808;0.868
1464540727000;0.724;2.044;1.096
1464540727000;0.98;2.044;1.144
1464540727000;1.16;2.044;1.1
1464540727000;1.248;2.032;0.992
1464540727000;1.108;1.864;0.948
1464540727000;0.92;1.652;0.884
1464540727000;0.616;1.244;0.704
1464540727000;0.548;1.112;0.596
1464540727000;0.48;0.9;0.512
1464540727000;0.404;0.356;0.412
1464540727000;0.396;0.18;0.34
1464540727000;0.44;-0.032;0.196
1464540727000;0.436;-0.156;0.144
1464540727000;0.428;-0.264;0.1
1464540727000;0.38;-0.404;0.04
1464540727000;0.296;-0.428;-0.012
1464540727000;0.24;-0.472;-0.068
1464540727000;0.144;-0.732;-0.124
1464540727000;0.1;-0.98;-0.176
1464540727000;0.024;-1.252;-0.2
1464540727000;-0.12;-1.84;-0.28
1464540727000;-0.116;-1.96;-0.384
1464540727000;-0.176;-1.992;-0.412
1464540727000;-0.18;-1.88;-0.44
1464540727000;-0.128;-1.696;-0.452
1464540727000;-0.172;-1.732;-0.372
1464540727000;-0.152;-1.412;-0.304
1464540727000;-0.108;-1.2;-0.248
1464540727000;-0.076;-0.78;-0.128
1464540727000;-0.052;-0.58;-0.064
1464540728000;0.012;-0.436;-0.028
1464540728000;0.096;-0.224;0.06
1464540728000;0.164;-0.052;0.084
1464540728000;0.252;0.136;0.152
1464540728000;0.228;0.252;0.24
1464540728000;0.228;0.492;0.296
1464540728000;0.3;0.816;0.432
1464540728000;0.364;1.016;0.892
1464540728000;0.34;1.272;1.06
1464540728000;0.428;1.66;1.236
1464540728000;0.788;1.696;1.424
1464540728000;1.008;1.704;1.388
1464540728000;1.184;1.804;1.3
1464540728000;1.128;1.752;1.228
1464540728000;1.024;1.636;1.132
1464540728000;0.8;1.284;0.784
1464540728000;0.708;1.012;0.612
1464540728000;0.644;0.732;0.496
1464540728000;0.564;0.372;0.292
1464540728000;0.556;0.256;0.272
1464540728000;0.528;0.124;0.256
1464540728000;0.504;-0.076;0.188
1464540728000;0.516;-0.144;0.168
1464540728000;0.516;-0.22;0.168
1464540728000;0.38;-0.364;0.088
1464540728000;0.304;-0.428;0.06
1464540728000;0.136;-0.668;-0.008
1464540728000;0.052;-0.856;-0.044
1464540728000;0.016;-1.064;-0.104
1464540728000;-0.02;-1.556;-0.292
1464540728000;0.0;-1.812;-0.3
1464540728000;0.028;-2.048;-0.672
1464540728000;0.02;-1.652;-0.516
1464540728000;0.076;-1.6;-0.42
1464540728000;0.072;-1.588;-0.42
1464540728000;0.12;-1.352;-0.32
1464540728000;0.132;-1.22;-0.284
1464540728000;0.132;-1.064;-0.212
1464540729000;0.132;-0.764;-0.04
1464540729000;0.164;-0.616;0.012
1464540729000;0.156;-0.26;0.084
1464540729000;0.212;-0.08;0.128
1464540729000;0.252;0.072;0.176
1464540729000;0.248;0.244;0.168
1464540729000;0.268;0.352;0.212
1464540729000;0.332;0.524;0.26
1464540729000;0.368;1.024;0.46
1464540729000;0.496;1.044;0.652
1464540729000;0.548;1.056;0.888
1464540729000;0.592;2.044;1.256
1464540729000;0.716;2.044;1.312
1464540729000;1.08;2.044;1.26
1464540729000;1.152;2.044;1.1
1464540729000;1.056;1.98;0.944
1464540729000;0.728;1.452;0.72
1464540729000;0.616;1.176;0.6
1464540729000;0.576;0.956;0.508
1464540729000;0.48;0.552;0.336
1464540729000;0.428;0.368;0.288
1464540729000;0.504;0.248;0.288
1464540729000;0.476;0.116;0.228
1464540729000;0.388;-0.004;0.176
1464540729000;0.312;-0.112;0.14
1464540729000;0.24;-0.356;0.056
1464540729000;0.216;-0.492;0.02
1464540729000;0.124;-0.72;-0.124
1464540729000;0.092;-0.884;-0.184
1464540729000;0.072;-1.036;-0.22
1464540729000;-0.02;-1.508;-0.308
1464540729000;-0.06;-1.744;-0.404
1464540729000;-0.036;-1.928;-0.508
1464540729000;0.0;-1.876;-0.656
1464540729000;0.004;-1.764;-0.596
1464540729000;0.008;-1.716;-0.56
1464540729000;0.028;-1.492;-0.464
1464540730000;0.04;-1.356;-0.416
1464540730000;0.044;-1.224;-0.376
1464540730000;0.08;-0.904;-0.256
1464540730000;0.096;-0.74;-0.172
1464540730000;0.132;-0.524;-0.072
1464540730000;0.2;-0.416;0.0
1464540730000;0.192;-0.268;0.048
1464540730000;0.12;0.02;0.212
1464540730000;0.196;0.336;0.272
1464540730000;0.256;0.588;0.308
1464540730000;0.28;0.62;0.472
1464540730000;0.376;1.144;0.516
1464540730000;0.428;1.548;0.548
1464540730000;0.424;1.316;0.948
