timestamp;accel-x;accel-y;accel-z
1464094178001;-3.1138678;9.034184;2.1742456
1464094178035;-3.448103;8.939161;2.059611
1464094178068;-3.759165;8.841334;1.9337754
1464094178103;-4.128039;8.707228;1.7842327
1464094178137;-4.566976;8.516278;1.6296426
1464094178171;-5.0493965;8.269297;1.4704887
1464094178206;-5.4841843;8.014945;1.3131601
1464094178240;-5.9186683;7.729678;1.1231402
1464094178275;-6.355446;7.405257;0.9002661
1464094178308;-6.783369;7.041746;0.6631171
1464094178343;-7.182693;6.6535554;0.42322436
1464094178379;-7.5661335;6.225437;0.19379854
1464094178412;-7.958248;5.718929;-0.012342865
1464094178446;-8.320161;5.17529;-0.176969
1464094178480;-8.663642;4.5671678;-0.34972385
1464094178515;-8.905223;4.04971;-0.5804391
1464094178549;-9.060649;3.6287584;-0.8813628
1464094178583;-9.13687;3.3167343;-1.2477626
1464094178617;-9.147993;3.1052563;-1.6466957
1464094178651;-9.114129;2.9360936;-2.086154
1464094178686;-9.086848;2.7526805;-2.4273329
1464094178721;-9.088359;2.5460012;-2.6381054
1464094178755;-9.082971;2.4007313;-2.7885768
1464094178790;-9.465596;1.6690814;-1.9122485
1464094178824;-9.091683;2.201228;-2.9216256
1464094178861;-9.092507;2.1245096;-2.9753668
1464094178896;-9.088156;2.067959;-3.0280364
1464094178930;-9.085617;2.0231586;-3.0656815
1464094178964;-9.090707;1.9860946;-3.0748155
1464094178998;-9.10329;1.3499299;-3.3686576
1464094179032;-9.091247;1.4325153;-3.3670657
1464094179066;-9.094944;1.4928309;-3.3306875
1464094179101;-9.096286;1.5585357;-3.2967553
1464094179135;-9.096909;1.6313282;-3.259606
1464094179169;-9.099186;1.714045;-3.2104313
1464094179204;-9.106038;1.8197987;-3.1318345
1464094179238;-9.119317;1.9628791;-3.004195
1464094179272;-9.129579;2.1703856;-2.8249373
1464094179306;-9.103;2.5195122;-2.6129408
1464094179341;-9.023994;3.0014915;-2.366129
1464094179376;-8.873992;3.618038;-2.0498946
1464094179410;-8.600391;4.408525;-1.6242507
1464094179444;-8.156415;5.318336;-1.1082377
1464094179481;-7.426995;6.376597;-0.4677166
1464094179515;-6.658711;7.1896005;0.10597001
1464094179548;-5.6852627;7.948639;0.732762
1464094179583;-4.41854;8.652259;1.2864383
