timestamp;accel-x;accel-y;accel-z
1464530364345;7.7007985;3.2208145;5.1345987
1464530364394;7.897735;3.219256;4.8272386
1464530364443;7.9987254;3.2073305;4.666201
1464530364477;7.9951077;3.2486463;4.643766
1464530364526;7.9637694;3.2879958;4.66985
1464530364561;7.8960752;3.3637214;4.7304735
1464530364594;7.827156;3.437737;4.7914133
1464530364629;7.7639413;3.5062988;4.844286
1464530364665;7.709774;3.5691752;4.8847113
1464530364708;7.6395807;3.655555;4.9308968
1464530364745;7.574317;3.7398112;4.9682536
1464530364782;7.4902506;3.9596455;4.9251776
1464530364825;7.4609213;4.2504234;4.7231936
1464530364861;7.4742227;4.560173;4.4023676
1464530364909;7.5261164;5.088044;3.6755152
1464530364943;7.5519147;5.45546;3.040813
1464530364977;7.476322;5.8962846;2.3191504
1464530365024;7.109209;6.637422;1.2015803
1464530365060;6.4521;7.3753405;0.121557616
1464530365098;5.4762416;8.059606;-1.0457252
1464530365131;4.6187687;8.424477;-1.9326608
1464530365174;3.5801387;8.648762;-2.901987
1464530365208;2.5189278;8.697477;-3.7481875
1464530365244;1.2986152;8.609193;-4.498378
1464530365280;0.17729138;8.423745;-5.004907
1464530365315;-0.77180755;8.187969;-5.3293037
1464530365361;-1.9289995;7.7683606;-5.654337
1464530365395;-3.3846645;7.01208;-5.951032
1464530365429;-4.3755817;6.3775887;-6.018359
1464530365465;-5.1399155;5.8460445;-5.953573
1464530365510;-6.00845;5.1771584;-5.7563505
1464530365548;-6.9393525;4.3190203;-5.406614
1464530365590;-7.6123734;3.529682;-5.062918
1464530365625;-8.161833;2.7341385;-4.684972
1464530365662;-8.478203;2.1905339;-4.4001894
1464530365711;-8.824115;1.4708345;-4.0014586
1464530365758;-8.945116;1.1333005;-3.8393462
1464530365792;-9.124513;1.507666;-3.2419472
1464530365827;-8.964702;1.0657884;-3.8129032
1464530365862;-8.96315;1.0720327;-3.8148024
1464530365898;-8.958001;1.0995836;-3.8190522
1464530365944;-8.964814;1.1188072;-3.7974246
1464530365995;-8.982563;1.1350821;-3.750352
1464530366031;-8.992423;1.1729335;-3.7149107
1464530366076;-9.0034075;1.2180425;-3.6735616
1464530366112;-9.013592;1.2487161;-3.6381137
1464530366157;-9.030047;1.2777717;-3.5868564
1464530366193;-9.047275;1.2877;-3.539586
1464530366232;-9.069565;1.2917674;-3.4805644
1464530366274;-9.092858;1.287502;-3.4208632
1464530366308;-9.092089;1.2883887;-3.4225729
1464530366342;-9.078304;1.2122562;-3.4863758
1464530366377;-9.067026;1.1780025;-3.5272324
1464530366411;-9.052205;1.1587906;-3.5713856
1464530366444;-9.038136;1.1405892;-3.6126432
1464530366482;-9.0208845;1.1283144;-3.659312
1464530366515;-9.004871;1.1283383;-3.6985395
1464530366558;-8.979326;1.1548425;-3.7520726
1464530366592;-8.947791;1.215154;-3.8079448
1464530366626;-8.915945;1.2732576;-3.8632588
1464530366660;-8.877826;1.3509737;-3.9241679
1464530366698;-8.828175;1.4613507;-3.9959736
1464530366732;-8.784622;1.5587804;-4.0547023
1464530366774;-8.708499;1.7396601;-4.1443563
1464530366809;-8.594327;2.0235848;-4.2523704
1464530366845;-8.456762;2.325245;-4.372235
