timestamp;x_accel;y_accel;z_accel
1464540713000;0.744;1.608;0.832
1464540713000;0.94;1.8;0.908
1464540713000;1.036;1.928;0.876
1464540713000;1.028;1.772;0.796
1464540713000;0.932;1.6;0.76
1464540713000;0.844;1.428;0.716
1464540713000;0.704;1.008;0.536
1464540713000;0.648;0.8;0.416
1464540713000;0.616;0.62;0.324
1464540713000;0.592;0.204;0.256
1464540713000;0.588;0.06;0.204
1464540713000;0.568;-0.016;0.132
1464540713000;0.532;-0.14;0.04
1464540713000;0.528;-0.2;0.008
1464540713000;0.532;-0.256;0.0
1464540713000;0.392;-0.428;-0.036
1464540713000;0.312;-0.54;-0.048
1464540713000;0.172;-0.884;-0.024
1464540713000;0.06;-1.176;-0.004
1464540713000;-0.036;-1.452;-0.004
1464540713000;-0.148;-1.932;-0.112
1464540713000;-0.144;-2.048;-0.216
1464540713000;-0.124;-2.048;-0.26
1464540713000;0.02;-1.812;-0.356
1464540713000;0.076;-1.632;-0.336
1464540713000;0.12;-1.448;-0.288
1464540714000;0.18;-1.152;-0.196
1464540714000;0.188;-1.02;-0.136
1464540714000;0.18;-0.888;-0.072
1464540714000;0.22;-0.672;0.0
1464540714000;0.228;-0.548;0.008
1464540714000;0.232;-0.376;0.052
1464540714000;0.28;0.072;0.108
1464540714000;0.336;0.272;0.188
1464540714000;0.448;0.316;0.352
1464540714000;0.424;0.524;0.392
1464540714000;0.484;0.924;0.428
1464540714000;0.628;1.008;0.672
1464540714000;0.628;1.04;0.776
1464540714000;0.668;1.42;0.784
1464540714000;0.912;1.74;0.896
1464540714000;1.024;1.732;0.956
1464540714000;1.188;1.988;0.82
1464540714000;1.148;1.916;0.704
1464540714000;1.06;1.652;0.616
1464540714000;0.884;1.028;0.472
1464540714000;0.796;0.824;0.376
1464540714000;0.744;0.668;0.32
1464540714000;0.624;0.344;0.252
1464540714000;0.588;0.216;0.228
1464540714000;0.588;0.112;0.244
1464540714000;0.556;0.052;0.208
1464540714000;0.524;-0.028;0.188
1464540714000;0.504;-0.144;0.18
1464540714000;0.444;-0.316;0.144
1464540714000;0.396;-0.388;0.104
1464540714000;0.316;-0.492;0.056
1464540714000;0.148;-0.848;-0.044
1464540714000;0.136;-1.052;-0.136
1464540714000;0.14;-1.42;-0.344
1464540714000;0.088;-1.664;-0.404
1464540714000;0.068;-1.864;-0.5
1464540714000;0.072;-2.012;-0.7
1464540715000;0.072;-1.936;-0.612
1464540715000;0.092;-1.796;-0.528
1464540715000;0.092;-1.436;-0.36
1464540715000;0.084;-1.3;-0.276
1464540715000;0.1;-1.14;-0.204
1464540715000;0.132;-0.836;-0.06
1464540715000;0.156;-0.708;-0.008
1464540715000;0.232;-0.412;0.072
1464540715000;0.276;-0.248;0.128
1464540715000;0.316;-0.14;0.184
1464540715000;0.388;0.224;0.228
1464540715000;0.484;0.488;0.24
1464540715000;0.488;0.552;0.268
1464540715000;0.544;0.584;0.404
1464540715000;0.616;0.88;0.404
1464540715000;0.612;1.068;0.428
1464540715000;0.636;1.196;0.592
1464540715000;0.8;1.5;0.616
1464540715000;0.98;1.86;0.6
1464540715000;1.196;2.044;0.624
1464540715000;1.26;2.02;0.66
1464540715000;1.244;1.956;0.636
1464540715000;1.008;1.544;0.592
1464540715000;0.876;1.296;0.568
1464540715000;0.712;0.92;0.432
1464540715000;0.636;0.72;0.364
1464540715000;0.572;0.524;0.32
1464540715000;0.528;0.204;0.216
1464540715000;0.5;0.08;0.16
1464540715000;0.488;0.008;0.12
1464540715000;0.456;-0.14;0.028
1464540715000;0.412;-0.232;0.016
1464540715000;0.36;-0.32;0.0
1464540715000;0.324;-0.512;-0.028
1464540715000;0.284;-0.612;-0.036
1464540715000;0.216;-0.74;-0.044
1464540715000;0.06;-1.156;-0.148
1464540715000;0.036;-1.428;-0.248
1464540716000;0.056;-1.7;-0.34
1464540716000;-0.004;-2.048;-0.576
1464540716000;0.012;-2.048;-0.66
1464540716000;0.0;-1.924;-0.612
1464540716000;0.028;-1.756;-0.544
1464540716000;0.044;-1.544;-0.444
1464540716000;0.06;-1.176;-0.276
1464540716000;0.06;-1.02;-0.204
1464540716000;0.072;-0.868;-0.144
1464540716000;0.18;-0.584;-0.028
1464540716000;0.2;-0.476;0.0
1464540716000;0.232;-0.364;0.036
1464540716000;0.24;-0.044;0.16
1464540716000;0.248;0.172;0.244
1464540716000;0.248;0.248;0.332
1464540716000;0.24;0.488;0.52
1464540716000;0.24;0.788;0.52
1464540716000;0.432;0.88;0.524
1464540716000;0.576;1.22;0.512
1464540716000;0.812;1.696;0.532
1464540716000;0.992;2.044;0.836
1464540716000;1.012;2.044;0.988
1464540716000;1.064;2.044;1.224
1464540716000;1.048;2.004;1.12
1464540716000;0.988;1.796;0.956
1464540716000;0.744;1.364;0.632
1464540716000;0.656;1.096;0.516
1464540716000;0.58;0.872;0.412
1464540716000;0.48;0.536;0.168
1464540716000;0.46;0.368;0.148
1464540716000;0.432;0.224;0.136
1464540716000;0.436;0.072;0.024
1464540716000;0.424;-0.036;0.0
1464540716000;0.396;-0.168;0.0
1464540716000;0.284;-0.364;-0.04
1464540716000;0.2;-0.48;-0.064
1464540716000;0.104;-0.604;-0.068
1464540717000;0.0;-0.952;-0.112
1464540717000;-0.028;-1.196;-0.188
1464540717000;-0.096;-1.664;-0.356
1464540717000;-0.108;-1.936;-0.52
1464540717000;-0.032;-2.048;-0.736
1464540717000;0.016;-1.852;-0.772
1464540717000;0.044;-1.728;-0.692
1464540717000;0.052;-1.672;-0.632
1464540717000;0.064;-1.336;-0.448
1464540717000;0.056;-1.18;-0.356
1464540717000;0.076;-1.004;-0.264
1464540717000;0.108;-0.752;-0.08
1464540717000;0.104;-0.66;-0.036
1464540717000;0.136;-0.604;0.016
1464540717000;0.224;-0.288;0.08
1464540717000;0.232;0.012;0.112
1464540717000;0.288;0.208;0.176
1464540717000;0.28;0.1;0.404
1464540717000;0.32;0.3;0.516
1464540717000;0.336;0.796;0.7
1464540717000;0.36;0.908;0.816
1464540717000;0.504;1.144;0.956
1464540717000;0.744;1.736;1.132
1464540717000;0.848;1.912;1.18
1464540717000;1.004;1.98;1.212
1464540717000;1.14;1.736;1.132
1464540717000;1.124;1.524;1.08
1464540717000;1.076;1.332;0.996
1464540717000;0.892;0.956;0.792
1464540717000;0.796;0.832;0.716
1464540717000;0.728;0.704;0.604
1464540717000;0.704;0.288;0.492
1464540717000;0.724;0.156;0.46
1464540717000;0.7;0.132;0.38
1464540717000;0.632;0.072;0.252
1464540717000;0.6;-0.072;0.228
1464540717000;0.452;-0.34;0.152
1464540718000;0.388;-0.468;0.12
1464540718000;0.324;-0.556;0.084
1464540718000;0.184;-0.752;-0.016
1464540718000;0.132;-0.832;-0.08
1464540718000;0.024;-1.112;-0.156
1464540718000;0.008;-1.308;-0.228
1464540718000;-0.016;-1.536;-0.276
1464540718000;-0.008;-1.976;-0.568
1464540718000;-0.064;-2.028;-0.588
1464540718000;-0.056;-1.784;-0.48
1464540718000;0.0;-1.776;-0.444
1464540718000;0.036;-1.624;-0.38
1464540718000;0.048;-1.476;-0.344
1464540718000;0.052;-1.172;-0.252
1464540718000;0.04;-1.012;-0.212
1464540718000;0.056;-0.84;-0.16
1464540718000;0.096;-0.512;-0.036
1464540718000;0.116;-0.336;0.032
1464540718000;0.284;0.056;0.156
1464540718000;0.276;0.2;0.236
1464540718000;0.32;0.168;0.344
1464540718000;0.476;0.292;0.568
1464540718000;0.42;0.496;0.588
1464540718000;0.408;0.664;0.664
1464540718000;0.604;1.06;0.976
1464540718000;0.616;1.192;1.104
1464540718000;0.688;1.416;1.188
1464540718000;0.952;1.876;1.216
1464540718000;1.06;1.848;1.172
1464540718000;1.168;1.804;1.14
1464540718000;0.984;1.668;0.976
